,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,-0.2561308947703819,0.6717034347641041,0.1147767244949209,0.093705186321305,-0.15379419286482485,-0.11318144304548039,0.6680472921189711,-0.6829781945685299,0.18300566393215348,-0.06166827063949064,0.1240516491132247
volatile acidity,-0.2561308947703819,1.0,-0.5524956845595839,0.001917881962790698,0.06129777247646159,-0.010503827006591856,0.07647000482092836,0.02202623219521656,0.23493729440739436,-0.26098668528329055,-0.20228802714953087,-0.3905577802640094
citric acid,0.6717034347641041,-0.5524956845595839,1.0,0.14357716157031483,0.20382291382904255,-0.06097812919230497,0.035533023931161666,0.3649471752112531,-0.5419041447395132,0.31277004385441737,0.10990324663388663,0.2263725143180432
residual sugar,0.1147767244949209,0.001917881962790698,0.14357716157031483,1.0,0.05560953520353216,0.18704899510428666,0.2030278816971015,0.3552833709833765,-0.08565242221887161,0.005527121339138363,0.042075437211749625,0.013731637340066346
chlorides,0.093705186321305,0.06129777247646159,0.20382291382904255,0.05560953520353216,1.0,0.005562147004781088,0.047400468259075325,0.20063232664151315,-0.2650261311732278,0.37126048128542705,-0.2211405447889099,-0.12890655993005312
free sulfur dioxide,-0.15379419286482485,-0.010503827006591856,-0.06097812919230497,0.18704899510428666,0.005562147004781088,1.0,0.6676664504810212,-0.021945831163490016,0.07037749850494217,0.051657571842828584,-0.06940835355780794,-0.05065605724427643
total sulfur dioxide,-0.11318144304548039,0.07647000482092836,0.035533023931161666,0.2030278816971015,0.047400468259075325,0.6676664504810212,1.0,0.07126947620310314,-0.06649455901285606,0.04294683623953844,-0.20565394373429996,-0.18510028892653843
density,0.6680472921189711,0.02202623219521656,0.3649471752112531,0.3552833709833765,0.20063232664151315,-0.021945831163490016,0.07126947620310314,1.0,-0.34169933478503156,0.1485064117207851,-0.49617977024448734,-0.17491922778335006
pH,-0.6829781945685299,0.23493729440739436,-0.5419041447395132,-0.08565242221887161,-0.2650261311732278,0.07037749850494217,-0.06649455901285606,-0.34169933478503156,1.0,-0.1966476023043703,0.20563250851242088,-0.0577313912053823
sulphates,0.18300566393215348,-0.26098668528329055,0.31277004385441737,0.005527121339138363,0.37126048128542705,0.051657571842828584,0.04294683623953844,0.1485064117207851,-0.1966476023043703,1.0,0.09359475041244826,0.25139707906926206
alcohol,-0.06166827063949064,-0.20228802714953087,0.10990324663388663,0.042075437211749625,-0.2211405447889099,-0.06940835355780794,-0.20565394373429996,-0.49617977024448734,0.20563250851242088,0.09359475041244826,1.0,0.47616632399954223
quality,0.1240516491132247,-0.3905577802640094,0.2263725143180432,0.013731637340066346,-0.12890655993005312,-0.05065605724427643,-0.18510028892653843,-0.17491922778335006,-0.0577313912053823,0.25139707906926206,0.47616632399954223,1.0
