,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,0.16421624809148047,0.40275778777065047,-0.15082741929385274,0.27240658105082227,-0.33446066658709545,-0.36892477310666705,0.5684668217384781,-0.2729133076146177,0.3460606591557038,-0.05513368224022962,-0.03229154769415187
volatile acidity,0.16421624809148047,1.0,-0.4730743598165155,-0.2717630417181389,0.3496718818884931,-0.3942741987145222,-0.45715166537207297,0.3340065502664164,0.3411736107089402,0.20240526824633562,-0.08986824813547437,-0.29084954328337015
citric acid,0.40275778777065047,-0.4730743598165155,1.0,0.161889768185192,0.06386078110451172,0.13289756758346172,0.22173050442277173,0.08803981448041778,-0.4389721448574809,0.07072302481013674,0.05798253147515533,0.1565773089584498
residual sugar,-0.15082741929385274,-0.2717630417181389,0.161889768185192,1.0,-0.18036485681873674,0.47819576630900074,0.5461937416178615,0.3456030320693722,-0.27946225584359585,-0.2406231412704992,-0.2840527195945144,0.013157777743393759
chlorides,0.27240658105082227,0.3496718818884931,0.06386078110451172,-0.18036485681873674,1.0,-0.22846446485345287,-0.2900489917391914,0.3566702495108039,0.01153002383016753,0.4095764480223635,-0.20909433098707256,-0.1833190691811972
free sulfur dioxide,-0.33446066658709545,-0.3942741987145222,0.13289756758346172,0.47819576630900074,-0.22846446485345287,1.0,0.7636290716609264,-0.10662237421706118,-0.18985342181675788,-0.24828714693087922,-0.1601013987106132,0.11041464756386761
total sulfur dioxide,-0.36892477310666705,-0.45715166537207297,0.22173050442277173,0.5461937416178615,-0.2900489917391914,0.7636290716609264,1.0,-0.15096562445815326,-0.31685509908325,-0.316158949816937,-0.2235428969470016,0.0008186295378431515
density,0.5684668217384781,0.3340065502664164,0.08803981448041778,0.3456030320693722,0.3566702495108039,-0.10662237421706118,-0.15096562445815326,1.0,0.026095885689441656,0.32612499879797574,-0.5868756252861904,-0.27767217122119037
pH,-0.2729133076146177,0.3411736107089402,-0.4389721448574809,-0.27946225584359585,0.01153002383016753,-0.18985342181675788,-0.31685509908325,0.026095885689441656,1.0,0.10816190791226424,0.1616648246470545,0.009140196991372633
sulphates,0.3460606591557038,0.20240526824633562,0.07072302481013674,-0.2406231412704992,0.4095764480223635,-0.24828714693087922,-0.316158949816937,0.32612499879797574,0.10816190791226424,1.0,0.027568053058149376,0.05751590198998428
alcohol,-0.05513368224022962,-0.08986824813547437,0.05798253147515533,-0.2840527195945144,-0.20909433098707256,-0.1601013987106132,-0.2235428969470016,-0.5868756252861904,0.1616648246470545,0.027568053058149376,1.0,0.475825622672971
quality,-0.03229154769415187,-0.29084954328337015,0.1565773089584498,0.013157777743393759,-0.1833190691811972,0.11041464756386761,0.0008186295378431515,-0.27767217122119037,0.009140196991372633,0.05751590198998428,0.475825622672971,1.0
